Entity,Code,Year,MaleFemaleRatio
Brazil,BRA,1994,3.898599453
Bulgaria,BGR,1994,2.902181734
Canada,CAN,1994,3.888126028
Chile,CHL,1994,7.797734518
Colombia,COL,1994,4.109615024
Costa Rica,CRI,1994,4.997685196
Croatia,HRV,1994,3.418841898
Cuba,CUB,1994,1.72982865
Czech Republic,CZE,1994,3.192777023
Denmark,DNK,1994,2.469241066
Estonia,EST,1994,5.504357922
Finland,FIN,1994,3.840046867
France,FRA,1994,3.145378208
Georgia,GEO,1994,3.491296107
Germany,DEU,1994,3.178508048
Greece,GRC,1994,4.48221798
Guatemala,GTM,1994,6.943899868
Hungary,HUN,1994,3.920196529
Ireland,IRL,1994,3.537291775
Israel,ISR,1994,3.019941929
